nombre;url;doc_language_ok;alt_texts_ok;input_labels_ok;empty_buttons_ok;empty_links_ok;color_contrast_ok;doc_language_fail;alt_texts_fail;input_labels_fail;empty_buttons_fail;empty_links_fail;color_contrast_fail;ratio;clase
Universidad del Norte Santo Tomás de Aquino;https://www.unsta.edu.ar/;1;4;3;1;252;344;0;7;1;0;6;49;0.905688622754491;sin_prob_aw
Universidad del Salvador;https://www.usal.edu.ar;1;2;1;2;197;286;0;90;2;13;8;25;0.7799043062200957;sin_prob_aw
Universidad del Sur de Buenos Aires;https://usba.edu.ar/;1;0;0;0;0;0;0;0;0;0;0;0;1.0;sin_prob_aw
Universidad de Mendoza;https://www.um.edu.ar;1;12;0;20;251;327;0;17;1;0;6;44;0.8998527245949927;sin_prob_aw
Universidad de Morón;https://www.unimoron.edu.ar;1;35;0;7;103;122;0;0;0;0;2;35;0.8786885245901639;sin_prob_aw
Universidad de Palermo;https://www.palermo.edu;1;95;0;0;254;796;0;0;7;1;2;46;0.9534109816971714;sin_prob_aw
Universidad de San Isidro Dr. Plácido Marín;https://usi.edu.ar/;1;0;0;0;174;195;0;33;1;5;0;17;0.8685446009389671;sin_prob_aw
Universidad de San Pablo - T;https://www.uspt.edu.ar;1;30;1;1;130;167;0;44;0;0;7;23;0.8168316831683168;sin_prob_aw
Universidad Evangélica;https://uevangelica.edu.ar/;1;5;0;4;110;185;0;12;0;0;3;21;0.8944281524926686;sin_prob_aw
Universidad Gastón Dachary;https://www.ugd.edu.ar/;1;52;1;4;243;204;0;13;0;0;8;13;0.9369202226345084;sin_prob_aw
Universidad ISALUD;https://www.isalud.edu.ar;1;0;0;0;0;0;0;1;0;0;0;1;0.3333333333333333;con_prob_aw
Universidad Juan Agustín Maza;https://www.umaza.edu.ar;1;0;0;3;119;140;0;17;1;0;13;10;0.8651315789473685;sin_prob_aw
Universidad Maimónides;https://www.maimonides.edu;1;52;1;9;270;912;0;8;14;1;10;517;0.6935933147632312;con_prob_aw
Universidad Metropolitana para la Educación y el Trabajo;https://www.umet.edu.ar;1;4;0;1;105;138;0;24;2;0;26;33;0.7455089820359282;con_prob_aw
Universidad Notarial Argentina;https://www.universidadnotarial.edu.ar/una/;1;4;6;2;78;84;0;7;2;0;8;85;0.631768953068592;con_prob_aw
Universidad Patagonia Argentina;https://upatagonia.edu.ar;1;19;1;0;42;71;0;5;0;0;19;55;0.6291079812206573;con_prob_aw
Universidad Salesiana Argentina;https://www.unisal.edu.ar;1;0;0;0;0;0;0;0;0;0;0;0;1.0;sin_prob_aw
Universidad Torcuato Di Tella;https://www.utdt.edu;0;1;0;1;164;202;1;25;1;0;14;29;0.8401826484018264;sin_prob_aw
Facultad Latinoamericana de Ciencias Sociales;https://www.flacso.org.ar/;0;1;0;0;113;99;1;15;1;1;3;85;0.6677115987460815;con_prob_aw
